"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2019","Check displaying of dashboard page","LMS system","2026-07-23","passed","2026-07-23","Dashboard","Dashboard","",""
"","1768","User login with wrong email or password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1725","User login with wrong email or password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","3266","User login with correct email and password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1600","Navigation from login page to registration page","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","2084","Registration with correct email, username and password","LMS system","2026-07-23","passed","2026-07-23","Registration","Authentication","",""
"","1503","Check displaying of empty courses list","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","2186","Create course","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","3498","Edit course","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","1874","User login with wrong email or password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
