"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1517","Check displaying of empty courses list","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","1896","User login with wrong email or password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1514","Navigation from login page to registration page","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","2242","Create course","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","3085","User login with correct email and password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1652","User login with wrong email or password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1991","Check displaying of dashboard page","LMS system","2026-07-23","passed","2026-07-23","Dashboard","Dashboard","",""
"","1940","User login with wrong email or password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1995","Registration with correct email, username and password","LMS system","2026-07-23","passed","2026-07-23","Registration","Authentication","",""
"","3434","Edit course","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
